,fitness,solution,computed_on,generation
24,55,"[0 1 1 1 1 0 1 0 0 0 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0 0 0 1 1 0 0 0 0 1 0 1 1
 0 1 1 1 1 1 1 1 1 0 0 1 0 1 1 0 0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 1 1 0 1 0 0
 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 1 1 0 1 0 0 0 1 1 0 1 1 1 1 0 1 0
 1 1 1 0 0 1 0 1 1 0]","21.06.2023, 16:08:38",0
25,65,"[1 0 1 1 1 0 1 0 0 1 1 1 1 1 0 1 1 0 1 0 0 1 1 1 0 0 1 1 1 0 0 1 1 0 1 1 0
 0 0 0 0 0 1 1 0 1 1 0 1 1 1 0 0 1 0 1 0 1 1 1 1 1 0 0 0 1 0 1 1 0 0 1 0 0
 1 0 1 0 1 0 0 0 0 1 1 1 1 1 0 1 0 0 1 1 0 1 0 0 1 0 0 0 1 0 1 1 1 1 0 1 0
 1 0 0 1 1 1 1 0 0 0]","21.06.2023, 16:08:38",0
26,60,"[0 1 1 1 1 1 1 1 0 0 0 0 0 0 1 1 0 0 1 0 1 0 1 1 1 1 1 1 0 0 1 0 0 0 1 0 1
 0 1 0 1 0 0 1 1 1 1 1 0 0 0 1 1 0 0 0 1 1 1 0 1 1 0 1 1 0 0 1 0 0 0 0 1 1
 0 0 1 0 0 1 1 1 1 0 1 1 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 1 1 1 0 0 0 1 1 1 1
 0 0 1 0 1 0 0 0 1 0]","21.06.2023, 16:08:38",0
27,63,"[0 0 1 1 1 0 0 1 1 0 1 1 0 0 1 0 1 0 0 1 1 0 1 1 1 0 1 1 0 0 0 0 0 0 0 0 1
 1 1 1 0 0 0 1 1 1 0 1 1 1 1 0 1 1 0 1 0 1 1 0 0 0 1 0 0 1 1 0 1 1 0 0 1 1
 0 0 1 0 0 1 1 0 1 1 1 0 1 0 0 0 1 1 0 1 1 0 1 1 0 0 0 1 1 1 0 0 1 1 1 1 0
 0 0 0 0 1 1 0 1 0 1]","21.06.2023, 16:08:38",0
28,66,"[0 0 1 1 1 0 1 0 1 1 1 0 1 0 1 0 1 0 0 1 1 1 0 1 0 1 0 0 0 1 0 1 1 0 1 0 1
 0 1 1 1 0 0 1 0 0 0 0 1 1 1 1 0 0 1 1 1 0 1 1 1 0 1 1 0 1 1 0 1 0 1 1 1 0
 0 1 1 0 1 1 0 0 1 1 0 0 0 1 1 1 1 1 1 0 0 0 1 1 0 1 1 0 0 0 0 1 1 0 0 1 0
 0 0 1 0 1 1 1 0 1 0]","21.06.2023, 16:08:38",0
29,55,"[1 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 1 0 0 1 0 0 1 1 1 0 1 1 1
 1 1 0 0 1 1 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 0 1 1 1 0 1 0 1 0 0 0 1 1 0 1 1
 1 1 0 0 0 1 1 0 1 1 0 0 1 0 0 0 0 1 0 1 1 0 0 0 0 0 1 0 1 1 1 1 0 1 0 0 0
 0 1 1 1 1 0 0 1 0 0]","21.06.2023, 16:08:38",0
30,65,"[0 0 1 1 0 1 0 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 1 0 1 1 1 1 1
 0 0 1 0 0 1 1 0 1 1 0 0 1 1 1 0 1 0 0 0 1 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 0
 1 0 1 1 1 1 1 0 0 1 0 0 1 1 1 0 1 0 1 1 0 1 0 1 1 0 0 1 1 0 1 1 0 0 0 0 0
 1 0 0 1 1 1 0 1 1 1]","21.06.2023, 16:08:38",0
31,59,"[0 0 1 0 0 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 0 0 0 0 1 0 1 0 1 1 1 1 0 0
 0 0 1 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 1 0 0 1 1 1 0 1 1 0 0 1 1 1 0 1 0 1 0
 0 1 1 0 1 0 0 1 0 1 0 1 1 1 0 0 1 1 1 1 1 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0
 1 1 0 1 1 1 1 0 0 0]","21.06.2023, 16:08:38",0
32,67,"[0 0 1 1 0 0 1 1 0 0 0 1 1 1 1 1 1 1 0 0 0 1 1 0 1 1 1 1 1 1 0 1 1 0 1 0 1
 1 0 0 0 0 0 0 0 1 0 0 1 1 1 0 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 0 1 0 0 0 0 1
 1 1 1 0 0 1 0 1 0 1 0 1 0 1 1 0 1 1 0 0 1 0 0 0 0 0 1 0 1 1 1 0 0 0 0 1 1
 1 1 1 0 1 0 0 0 1 1]","21.06.2023, 16:08:38",0
33,61,"[0 1 1 0 1 1 1 1 0 0 0 0 0 0 0 1 1 1 1 0 0 1 1 0 0 0 0 1 1 1 0 1 1 1 0 0 1
 1 0 1 0 1 1 1 0 0 1 1 1 1 0 1 0 0 0 0 1 0 0 0 0 1 1 1 1 0 1 0 1 1 0 0 1 1
 0 0 1 1 1 1 1 1 1 0 0 1 0 0 1 0 0 0 1 0 1 0 0 0 0 0 1 0 1 0 1 0 0 1 1 1 1
 0 1 1 1 0 1 0 0 0 0]","21.06.2023, 16:08:38",0
